################################### RECORDED ###################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -i1:20 -s CmdZ --procfilt fIsis -f ./  Subsys: CmdZ
################################################################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -p localhost-20150706-065018.raw.gz -P -f plot 
# Host:       localhost  DaemonOpts: 
# Booted:     1431591593.67 [20150514-09:19:53]
# Distro:     CentOS Linux release 7.1.1503 (Core)     Platform: 
# Date:       20150706-065018  Secs: 1436161818 TZ: +0100
# SubSys:     CmdZ Options:  Interval: 1:20 NumCPUs: 48 [HYPER] NumBud: 0 Flags: ix
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1200.000 Cores: 12  Siblings: 24 Nodes: 2
# Kernel:     3.10.0-229.el7.x86_64  Memory: 131754524  Swap: 
# NumDisks:   0 DiskNames: 
# NumNets:    3 NetNames: enp1s0f0:1000 enp1s0f1:10000 lo:10000
# SCSI:       DA:0:02:00:00 DA:0:02:01:00
################################################################################
#Date Time [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20150706 08:55:44 131754524 63082224 68672300 20952 0 58135756 1272136 37036 2737076 3137776 0 4194300 116392 4077908 0 0 396 0 0 1097372 0 0 79 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:45 131754524 63082224 68672300 20952 0 58135784 1272136 37036 2737072 3137776 0 4194300 116392 4077908 0 0 424 0 0 1097400 0 0 85 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:46 131754524 63082348 68672176 20952 0 58135784 1272136 37036 2737072 3137776 0 4194300 116392 4077908 0 0 424 0 0 1097400 0 0 56 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:47 131754524 63082224 68672300 20952 0 58135820 1272140 37036 2737068 3137776 0 4194300 116392 4077908 0 0 460 0 0 1097436 0 0 56 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:48 131754524 63082348 68672176 20952 0 58135820 1272140 37036 2737068 3137776 0 4194300 116392 4077908 0 0 460 0 0 1097436 0 0 82 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:49 131754524 63082224 68672300 20952 0 58135868 1272140 37036 2737076 3137776 0 4194300 116392 4077908 0 0 0 0 0 1097484 0 516 734 0 0 0 0 190872 0 3 3 0 516 516 0 0 0
20150706 08:55:50 131754524 63082224 68672300 20952 0 58135896 1272140 37036 2736988 3137776 0 4194300 116392 4077908 0 0 0 0 0 1097504 0 0 56 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:51 131754524 63082224 68672300 20952 0 58135916 1272140 37036 2737068 3137776 0 4194300 116392 4077908 0 0 0 0 0 1097532 0 0 57 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:52 131754524 63082660 68671864 20952 0 58135916 1272140 37036 2721140 3137776 0 4194300 116392 4077908 0 0 40 0 0 1097532 0 0 56 0 0 0 0 190872 0 0 0 0 0 0 0 0 0
20150706 08:55:53 131754524 63082364 68672160 20952 0 58135952 1272140 37036 2737072 3137776 0 4194300 116392 4077908 0 0 76 0 0 1097568 0 9 1294 0 0 0 0 190872 0 2 2 0 9 9 0 0 0
